Game,Console,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update,Stripped Sales,,No errors,Number Conversion,Total
Chess,PC_b,Unknown,International PC Owners,,,,,,,,,,12/1/1981,,#VALUE!,,0,0,
Star Strike,Int_b,Mattel Electronics,APh Technological Consulting,,,,0.80m,,,,,,12/22/1981,1/13/2018,#VALUE!,,0,0,
Spider-Man,Series_b,Parker Brothers,Parker Brothers,,,,42.50m,,,,,,1/1/1982,3/12/2020,#VALUE!,,0,0,
Alien,Series_b,Fox Interactive,Fox Video Games,,,,5.36m,,,,,,1/1/1982,6/26/2023,#VALUE!,,0,0,
Frogger,2600_b,Parker Bros.,Konami,,,,4.00m,,,,,,1/1/1982,,#VALUE!,,0,0,
Demon Attack,2600_b,Imagic,Imagic,,,,,2.13m,1.99m,0.12m,,0.02m,1/1/1982,,2.13,,2.13,2.13,
E.T.: The Extra Terrestrial,2600_b,Atari,Atari,,,,,1.97m,1.84m,0.11m,,0.02m,1/1/1982,,1.97,,1.97,1.97,
Ms. Pac-Man,2600_b,Atari,General Entertainment,,,,,1.65m,1.54m,0.10m,,0.02m,1/1/1982,,1.65,,1.65,1.65,
River Raid,2600_b,Activision,Activision,,,,,1.60m,1.49m,0.09m,,0.02m,1/1/1982,,1.60,,1.60,1.6,
Donkey Kong,2600_b,Coleco,Nintendo,,,,,1.46m,1.36m,0.08m,,0.02m,1/1/1982,,1.46,,1.46,1.46,
Centipede,2600_b,Atari,Atari,,,,,1.36m,1.26m,0.08m,,0.01m,1/1/1982,,1.36,,1.36,1.36,
Atlantis,2600_b,Imagic,Imagic,,,,,1.27m,1.18m,0.08m,,0.01m,1/1/1982,,1.27,,1.27,1.27,
Megamania,2600_b,Activision,Activision,,,,,1.10m,1.03m,0.06m,,0.01m,1/1/1982,,1.10,,1.10,1.1,
Cosmic Ark,2600_b,Imagic,Imagic,,,,,1.05m,0.99m,0.05m,,0.01m,1/1/1982,,1.05,,1.05,1.05,
Spider-Man,2600_b,Parker Bros.,Parker Bros.,,,,,0.93m,0.87m,0.05m,,0.01m,1/1/1982,,0.93,,0.93,0.93,
Custer's Revenge,2600_b,Mystique,Mystique,,,,,0.82m,0.76m,0.05m,,0.01m,1/1/1982,,0.82,,0.82,0.82,
Alien,2600_b,20th Century Fox Video Games,20th Century Fox Video Games,,,,,0.79m,0.74m,0.04m,,0.01m,1/1/1982,,0.79,,0.79,0.79,
Air Raid,2600_b,Men-A-Vision,Men-A-Vision,,,,,0.77m,0.72m,0.04m,,0.01m,1/1/1982,,0.77,,0.77,0.77,
Berzerk,2600_b,Atari,Stern Electronics,,,,,0.73m,0.68m,0.04m,,0.01m,1/1/1982,,0.73,,0.73,0.73,
King Kong,2600_b,Tigervision,Tigervision,,,,,0.69m,0.65m,0.04m,,0.01m,1/1/1982,,0.69,,0.69,0.69,
Adventures of Tron,2600_b,Mattel Interactive,Mattel,,,,,0.67m,0.63m,0.03m,,0.01m,1/1/1982,,0.67,,0.67,0.67,
Galaxian,5200_b,Atari,Atari,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Gopher,2600_b,US Games,US Games,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Gorf,2600_b,CBS Electronics,CBS Electronics,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Guardian,2600_b,Apollo,Apollo,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Infiltrate,2600_b,Apollo,Apollo,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Journey Escape,2600_b,Data Age,Data Age,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Jungle Fever/Knight on the Town,2600_b,Playaround,Playaround,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Lock 'N' Chase,2600_b,Mattel Interactive,Mattel,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Lost Luggage,2600_b,Apollo,Apollo,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
MAD,2600_b,US Games,US Games,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
